Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
3,57153714,-0.2202,0.1050,0.8179,96.13,46.02,40.28,Stationary
3,57213714,-0.2124,0.1377,0.5996,54.81,43.03,30.88,Stationary
3,57273714,-0.1719,0.0669,0.5103,4.39,14.59,13.12,Stationary
4,59013713,-0.1831,-0.2207,0.9824,-11.17,-26.79,4.03,Stationary
4,59073714,-0.1777,-0.1685,1.0059,-17.76,-22.77,2.08,Stationary
4,59133713,-0.2104,-0.1475,0.9990,-22.95,-13.49,-3.17,Stationary
4,59193713,-0.1470,-0.1436,1.0269,-28.99,-18.92,-2.75,Stationary
4,59253714,-0.1445,-0.1406,0.9863,-35.77,-59.39,7.69,Stationary
4,59313713,-0.1396,-0.3403,1.0127,-38.33,-47.61,12.08,Stationary
4,59373713,-0.0225,-0.4829,1.0386,-41.69,-9.52,6.47,Stationary
4,59433714,-0.0229,-0.5996,1.0166,-39.31,-22.16,-0.43,Stationary
4,59493713,0.0581,-0.6353,0.9785,-24.90,-8.18,-6.71,Stationary
4,59553714,-0.3594,-0.5234,0.9453,-15.08,47.85,-25.09,Stationary
4,59613713,0.0337,-0.6011,1.1484,-13.49,17.15,-28.56,Stationary
4,59673713,-0.0991,-0.6001,1.0938,5.49,38.33,-25.09,Stationary
4,59733713,-0.2412,-0.4829,1.1309,30.09,6.10,-18.01,Stationary
4,59793715,-0.2480,-0.4819,1.1377,35.10,7.63,-12.02,Stationary
4,59853715,-0.2017,-0.4565,1.2095,55.85,20.08,-0.67,Stationary
4,59913712,-0.1973,-0.3262,1.0913,88.32,-19.47,25.51,Stationary
4,59973715,-0.2510,-0.2871,1.1533,112.79,-49.62,37.23,Stationary
4,60033713,-0.2705,-0.1343,1.1353,120.24,-4.70,32.41,Stationary
4,60093713,-0.2778,0.0371,1.1094,118.59,-11.23,32.29,Stationary
4,60153714,-0.1982,0.1465,0.9551,93.32,-2.81,24.41,Stationary
4,60213713,-0.1089,0.1606,0.6460,64.33,16.97,21.79,Stationary
4,60273712,-0.1030,0.2222,0.5513,33.63,0.00,20.51,Stationary
4,60333715,-0.1543,0.1895,0.5547,-5.80,-1.83,9.40,Stationary
4,60393715,-0.1450,0.1958,0.6333,-34.97,-15.87,-0.12,Stationary
4,60453715,-0.1929,0.1865,0.5723,-55.97,-16.30,-9.70,Stationary
4,60513715,-0.2183,0.1714,0.6997,-79.83,-18.92,-14.40,Stationary
4,60573713,-0.1519,0.0142,0.8770,-98.21,-5.13,-20.57,Stationary
4,60633715,-0.1772,-0.0469,1.0693,-103.88,-27.95,-17.33,Stationary
4,60693714,-0.1846,-0.2012,1.0552,-92.71,-16.72,-15.26,Stationary
4,60753715,-0.1787,-0.1816,0.8516,-80.81,-40.22,-9.16,Stationary
4,60813714,-0.1519,-0.2134,0.8589,-85.45,-30.82,-1.34,Stationary
4,60873714,-0.1504,-0.4287,1.0444,-88.56,-13.98,-6.47,Stationary
4,60933715,-0.1777,-0.6523,1.1929,-95.70,-29.17,-8.24,Stationary
4,60993714,-0.1606,-1.0283,1.3628,-90.45,-32.53,-5.62,Stationary
4,61053713,-0.0835,-1.1865,1.5586,-45.04,-25.39,4.64,Stationary
